show_id,title,type,venue_id,start_date,end_date,duration_hours,ticket_price_min,ticket_price_max,capacity,status,featured
1,Celestial Dreams,Evening Show,3,2025-04-15,2025-05-30,2.5,45.00,120.00,1200,Scheduled,TRUE
2,Mystique,Matinee,2,2025-06-10,2025-08-15,1.75,35.00,85.00,800,Scheduled,FALSE
3,Aerial Fantasia,Special Event,1,2025-05-01,2025-05-03,3.0,60.00,250.00,1500,Scheduled,TRUE
4,Circus for Kids,Family Show,4,2025-04-01,2025-04-30,1.5,25.00,55.00,650,On Sale,FALSE
5,Grand Illusions,Evening Show,3,2025-03-01,2025-03-31,2.25,40.00,95.00,1200,Completed,FALSE
6,World Tour Spectacular,Special Event,5,2025-09-10,2025-12-15,3.5,75.00,350.00,2000,Planning,TRUE
7,Seasonal Wonders,Holiday Special,2,2025-12-20,2026-01-10,2.0,50.00,110.00,800,Planning,TRUE
8,Animal-Free Circus,Matinee,4,2025-07-15,2025-08-30,1.5,30.00,65.00,650,Scheduled,FALSE
9,Legends of the Ring,Evening Show,1,2025-08-01,2025-09-15,2.5,55.00,175.00,1500,Planning,TRUE
10,Anniversary Special,Gala Event,5,2025-10-15,2025-10-18,4.0,100.00,500.00,2000,Planning,TRUE